name,hex,r,g,b,h,s,v,l,a,b
crimson,#dc143c,220,20,60,348,91,86,47.02980511087303,70.93577651695682,33.59489365485293
crimson glory,#be0032,190,0,50,344,100,75,39.87773037085703,65.26081284123889,29.71391758833152
crimson red,#990000,153,0,0,0,100,60,31.282832098372495,54.71092542026318,45.142238215461624
crocodile,#736d58,115,109,88,47,23,45,46.02439548881334,-1.4133870804114435,12.593748057345488
crown of thorns,#771f1f,119,31,31,0,74,47,26.73715954288486,38.016893172441755,22.531560858356904
crowshead,#1c1208,28,18,8,30,71,11,6.2961312177589726,3.1348640339999982,6.202270252200087
cruise,#b5ecdf,181,236,223,166,23,93,89.45964279960538,-20.072925444179656,0.5860665386572705
crusoe,#004816,0,72,22,138,100,28,25.840570327909738,-32.40329302076839,23.823574985973337
crusta,#fd7b33,253,123,51,21,80,99,65.97195342528701,45.36539692561037,59.700447204038255
cumin,#924321,146,67,33,18,77,57,38.26112441638395,31.02477372179041,35.45311907132845
cumulus,#fdffd5,253,255,213,63,16,100,98.90972532504054,-7.463119852729239,19.887338397201802
cupid,#fbbeda,251,190,218,332,24,98,83.12467358381575,26.096440167811597,-5.441552308856212
curious blue,#2596d1,37,150,209,201,82,82,58.797542207124266,-10.024067448657469,-38.81223625175898
cutty sark,#507672,80,118,114,174,32,46,46.813024636162815,-14.298612000613275,-2.0907438406249312
cyan,#00ffff,0,255,255,180,100,100,91.11652110946342,-48.079618466228766,-14.138127754846131
cyan azure,#4e82b4,78,130,180,209,57,71,52.818188514782136,-2.4277936866598515,-31.624752321555416
cyan blue azure,#4682bf,70,130,191,210,63,75,52.98115601101337,-0.37231683862348763,-37.69749618920457
cyan cobalt blue,#28589c,40,88,156,215,74,61,37.53714511707155,8.1209173843593,-41.77055370618892
cyan cornflower blue,#188bc2,24,139,194,199,88,76,54.61043098679664,-10.233141583599558,-36.93107972195207
cyber grape,#58427c,88,66,124,263,47,49,32.75848834619972,22.773968555898556,-29.6148346969627
cyber yellow,#ffd300,255,211,0,50,100,100,85.93065289470253,0.10505883727629506,86.4348021523995
cyclamen,#f56fa1,245,111,161,338,55,96,64.44698105256249,56.26307922667484,-1.5304120417048983
cyprus,#003e40,0,62,64,182,100,25,23.05157544155415,-16.749231291389222,-6.36485175602316
daffodil,#ffff31,255,255,49,60,81,100,97.22831152575944,-20.8281750629985,88.01622251434208
daintree,#012731,1,39,49,192,98,19,13.704968205996344,-8.697264202245606,-10.257660509321243
dairy cream,#f9e4bc,249,228,188,39,24,98,91.35062170932582,1.134911503361924,22.149643907913898
daisy bush,#4f2398,79,35,152,263,77,60,27.105684123835154,46.18362753179597,-56.10435048085637
dallas,#6e4b26,110,75,38,31,65,43,34.97739210116522,10.640859693395955,27.60711744730131
dandelion,#f0e130,240,225,48,55,80,94,88.25137182628998,-12.501980685942716,80.09813181578141
danube,#6093d1,96,147,209,213,54,82,59.850488091953835,0.7907374375356047,-37.02508995310292
dark blue,#00008b,0,0,139,240,100,55,14.757156815274186,50.42926919587939,-68.6832814032651
dark blue gray,#666699,102,102,153,240,33,60,45.11962365976219,12.519084162994965,-27.756644379323458
dark brown,#654321,101,67,33,30,67,40,31.557047663700253,10.87788982866758,26.1862382551975
dark brown tangelo,#88654e,136,101,78,24,43,53,45.759483454237916,10.91633550490273,18.50487747544367
dark burgundy,#770f05,119,15,5,5,96,47,24.559061775000373,42.51299868813735,34.37292264705547
dark byzantium,#5d3954,93,57,84,315,39,36,29.14217929557215,20.61739297731982,-9.693586756765804
dark candy apple red,#a40000,164,0,0,0,100,64,33.75802028185585,57.57496359432887,47.95523937096288
dark cerulean,#08457e,8,69,126,209,94,49,28.93885000116525,5.319518822776647,-37.232051035913216
dark chestnut,#986960,152,105,96,10,37,60,49.035714719480595,17.621851479102833,12.628860062135072
dark coral,#cd5b45,205,91,69,10,66,80,52.82996983557183,43.72166383296905,34.62066089241949
dark cyan,#008b8b,0,139,139,180,100,55,52.207519815998296,-30.615179575610885,-9.002594735263369
dark ebony,#3c2005,60,32,5,29,92,24,15.511574231949709,11.012432501661396,20.9707844115459
dark fern,#0a480d,10,72,13,123,86,28,25.946289126936122,-31.804935944795304,28.302521864171798
dark goldenrod,#b8860b,184,134,11,43,94,72,59.2185428516686,9.865752940643402,62.73421565950203
dark green,#013220,1,50,32,158,98,20,17.422699674172613,-21.096043786174732,7.117413245366821
dark gunmetal,#1f262a,31,38,42,202,26,16,14.650195008598825,-1.9688625269184135,-3.681016926047409
dark imperial blue,#6e6ef9,110,110,249,240,56,98,53.28322354297009,38.379071444989755,-69.7610462606526
dark jungle green,#1a2421,26,36,33,162,28,14,13.176298397143547,-5.230643867806528,0.5550201190275494
dark khaki,#bdb76b,189,183,107,56,43,74,73.38127833356914,-8.787208024487015,39.287611414138766
dark lavender,#734f96,115,79,150,270,47,59,40.30992460103436,29.69714966532566,-33.419062652234935
dark liver,#534b4f,83,75,79,330,10,33,32.77882120896829,4.15435550819121,-1.1651365969197913
dark magenta,#8b008b,139,0,139,300,100,55,32.597483691880655,62.56435980770189,-38.74238081231828
dark medium gray,#a9a9a9,169,169,169,0,0,66,69.23779560557699,0.0038654605192256497,-0.00764802332062775
dark midnight blue,#003366,0,51,102,210,100,40,21.3084561073249,6.824640672861149,-34.21719682357717
dark moss green,#4a5d23,74,93,35,80,62,36,36.75432341303358,-17.39010541300737,30.3186301655874
dark olive green,#556b2f,85,107,47,82,56,42,42.2340254244788,-18.828429979103582,30.596825942752716
dark orange,#ff8c00,255,140,0,33,100,100,69.48104411888188,36.830887986405436,75.49475690652436
dark orchid,#9932cc,153,50,204,280,75,80,43.37926695780136,65.16646285944499,-60.10938783790765
dark pastel blue,#779ecb,119,158,203,212,41,80,63.90703665221034,-1.6872158800217418,-27.27977098079297
dark pastel green,#03c03c,3,192,60,138,98,75,68.05367721139781,-66.38564782445965,52.97316578666628
dark pastel purple,#966fd6,150,111,214,263,48,84,54.77023288734151,36.89363392719147,-47.584303842315556
dark pastel red,#c23b22,194,59,34,9,82,76,45.23823589096777,52.51354195058489,44.624869421649706
dark pink,#e75480,231,84,128,342,64,91,56.96621419313679,60.25229263684429,6.49170969833075
dark puce,#4f3a3c,79,58,60,354,27,31,26.77638004929461,9.63441557029951,2.3711061527777466
dark purple,#301934,48,25,52,291,52,20,13.056024364589309,16.958522700721986,-13.110592004708167
dark raspberry,#872657,135,38,87,330,72,53,32.31427598179,45.37287912380908,-6.199832038866848
dark red,#8b0000,139,0,0,0,100,55,28.084732284208997,51.01040680379737,41.2946561989777
dark salmon,#e9967a,233,150,122,15,48,91,69.85346453844176,28.17906140547305,27.704657031827185
dark scarlet,#560319,86,3,25,344,97,34,16.073194686127565,36.332212581837496,11.874452484449083
dark sea green,#8fbc8f,143,188,143,120,24,74,72.08740631745533,-23.817960022690876,18.032376508741343
dark sienna,#3c1414,60,20,20,0,67,24,12.680839947273018,19.726519773027764,9.912884034371267
dark sky blue,#8cbed6,140,190,214,199,35,84,74.35411377887161,-10.544542885420338,-17.28985569399906
dark slate blue,#483d8b,72,61,139,248,56,55,30.8292872096168,26.058399319223962,-42.0888274824247
dark slate gray,#2f4f4f,47,79,79,180,41,31,31.25607829935253,-11.717361159440998,-3.727239403217475
dark spring green,#177245,23,114,69,150,80,45,42.22564118226889,-37.040627717321364,17.758219238717544
dark tan,#918151,145,129,81,45,44,57,54.35894512619521,-0.9399509234143677,28.205001423862562
dark tangerine,#ffa812,255,168,18,38,93,100,75.64312010547418,22.529496755538503,77.23232069577614
dark terra cotta,#cc4e5c,204,78,92,353,62,80,50.75599203390229,51.01090908377653,18.55620491540877
dark turquoise,#00ced1,0,206,209,181,100,82,75.29307531314078,-40.036341602166345,-13.519327285314976
dark vanilla,#d1bea8,209,190,168,32,20,82,77.99845306120291,3.18457466487182,13.54781502424618
dark violet,#9400d3,148,0,211,282,100,83,39.57886745488794,76.33637219868322,-70.37832879888673
dark yellow,#9b870c,155,135,12,52,92,61,56.40980018544437,-3.96731941485734,59.08642110053282
dartmouth green,#00703c,0,112,60,152,100,44,41.080044104873366,-40.42056959160181,21.361223610224968
davys grey,#555555,85,85,85,0,0,33,36.14585083971984,0.0023647693635220346,-0.00467882446352208
dawn,#a6a29a,166,162,154,40,7,65,66.73387988741304,-0.016583052304453005,4.6594723803450755
dawn pink,#f3e9e5,243,233,229,17,6,95,93.00990913189055,2.6943645975542885,3.1327489229805217
de york,#7ac488,122,196,136,131,38,77,73.15123061514628,-35.67820703853819,23.05291460812322
debian red,#d70a53,215,10,83,339,95,84,46.02708935706389,71.91366355540252,18.02163302395683
deco,#d2da97,210,218,151,67,31,85,85.03660135775002,-13.275498604256697,32.14569947265042
deep blue,#220878,34,8,120,254,93,47,14.788655730819364,43.1668601469207,-56.50321828964716
deep blush,#e47698,228,118,152,341,48,89,63.10899784222666,46.21476110417616,1.3749174507681872
deep bronze,#4a3004,74,48,4,38,95,29,22.226012653320012,7.73170826658559,29.74035341342588
deep carmine,#a9203e,169,32,62,347,81,66,37.509860617590846,55.140715666324226,18.25216641053544
deep carmine pink,#ef3038,239,48,56,357,80,94,52.67495911494035,70.27412226790413,43.252138448836774
deep carrot orange,#e9692c,233,105,44,19,81,91,59.533506967539466,46.32057344890805,55.6300642939514
deep cerise,#da3287,218,50,135,330,77,85,50.61212801271347,69.29529439168824,-7.230066347514352
deep chestnut,#b94e48,185,78,72,3,61,73,47.27603608043307,42.85577477091107,25.315521679576293
deep cove,#051040,5,16,64,229,92,25,6.982559912187067,16.49326104140213,-31.69676963175554
deep fir,#002900,0,41,0,120,100,16,13.143905727667477,-24.172893193652957,18.88132902307949
deep forest green,#182d09,24,45,9,95,80,18,15.956133167328016,-16.225264355130122,19.070461997002297
deep fuchsia,#c154c1,193,84,193,300,56,76,53.52296758790244,57.99024138345504,-37.23531171401191
deep green,#056608,5,102,8,122,95,40,37.02706568972191,-43.011056371485004,40.312374578069424
deep green cyan turquoise,#0e7c61,14,124,97,165,89,49,46.139191447432026,-35.422805621378394,6.739452773082433
deep jungle green,#004b49,0,75,73,178,100,29,28.149493920336873,-20.558597571603997,-4.649496295919853
deep koamaru,#333366,51,51,102,240,50,40,23.7729048578585,15.252229612343543,-30.129027914154406
deep lemon,#f5c71a,245,199,26,47,89,96,82.01934688908877,2.2486195224217798,80.13188434849465
deep lilac,#9955bb,153,85,187,280,55,73,48.07955071825961,45.663526424852606,-42.71080556179905
deep magenta,#cc00cc,204,0,204,300,100,80,48.50730649507352,83.04665236109265,-51.42584437610738
deep maroon,#820000,130,0,0,0,100,51,25.997999529843646,48.59585008142131,38.6617924385172
deep oak,#412010,65,32,16,20,75,25,16.475321844696694,14.258567829106505,17.439364125523195
deep pink,#ff1493,255,20,147,328,92,100,55.95428053659428,84.55626603780286,-5.71470820760005
deep puce,#a95c68,169,92,104,351,46,66,48.37171048997175,32.698320743408225,7.236391918780716
deep red,#850101,133,1,1,0,99,52,26.76450258874832,49.241732492521564,39.206373752188874
deep ruby,#843f5b,132,63,91,336,52,52,36.39665496683407,32.961366432683405,-2.7571932309075953
deep saffron,#ff9933,255,153,51,30,80,100,72.41623922190196,31.0303837502498,65.73003541156575
deep sapphire,#082567,8,37,103,222,92,40,17.245187922264456,18.31883868813794,-41.45787210714625
deep sea,#01826b,1,130,107,169,99,51,48.301907739307225,-36.121042462740476,3.9443294076055624
deep sea green,#095859,9,88,89,181,90,35,33.47540668666098,-20.974681794292128,-6.887151620983866
deep space sparkle,#4a646c,74,100,108,194,31,42,40.65905283389285,-7.487121011492653,-7.642345351669766
deep taupe,#7e5e60,126,94,96,356,25,49,43.190393418356145,13.367692689669031,3.937808696388634
deep teal,#003532,0,53,50,177,100,21,19.125591144891963,-16.934285046615177,-2.76309188771946
deep tuscan red,#66424d,102,66,77,342,35,40,32.38502825098519,17.35888568960209,-0.2041984823392129
deep violet,#330066,51,0,102,270,100,40,13.609578399716938,42.79295511742076,-46.6498570808544
deer,#ba8759,186,135,89,28,52,73,60.327363026219615,14.125406396949035,32.28777039860971
del rio,#b09a95,176,154,149,11,15,69,65.36634768337854,7.272036896696255,5.596804770633312
dell,#396413,57,100,19,92,81,39,37.8983994229159,-29.3080554736925,38.314979274014526
delta,#a4a49d,164,164,157,60,4,64,67.1852144927088,-1.300771431056058,3.620272454496609
deluge,#7563a8,117,99,168,256,41,66,46.35539383509149,22.890594567623157,-34.586764878387896
denim,#1560bd,21,96,189,213,89,74,41.531129029685225,14.035577585411712,-54.879878782170074
denim blue,#2243b6,34,67,182,227,81,71,33.417943554937025,31.465790125322023,-63.95131377740484
derby,#ffeed8,255,238,216,34,15,100,94.89373973696595,2.2335902726195456,12.709058991889366
desaturated cyan,#669999,102,153,153,180,33,60,59.804764808211644,-16.890124238282787,-5.427918568274626
desert,#ae6020,174,96,32,27,82,68,48.84524910617567,27.019846296511552,47.705398895572756
desert sand,#edc9af,237,201,175,25,26,93,83.37549127323764,8.872024812140111,17.71487948388153
desert storm,#f8f8f7,248,248,247,60,0,97,97.55402964479703,-0.17045030449708287,0.46861575422962876
desire,#ea3c53,234,60,83,352,74,92,53.329005430460086,66.60840508490202,28.261248437570696
dew,#eafffe,234,255,254,177,8,100,98.49902582964782,-6.980488400099016,-1.8684655564148445
di serria,#db995e,219,153,94,28,57,86,68.49747428637303,18.504641383891464,40.57942403327755
diamond,#b9f2ff,185,242,255,191,27,100,92.14884231860381,-15.034919988861695,-12.110369424053435
diesel,#130000,19,0,0,0,100,7,1.2505811291492748,5.610784585830905,1.9764040999853294
dim gray,#696969,105,105,105,0,0,41,44.41356014781601,0.0027397028503628462,-0.005420650705589836
dingley,#5d7747,93,119,71,92,40,47,46.94264412428617,-18.753078265052793,23.38360808504858
dingy dungeon,#c53151,197,49,81,347,75,77,45.16637610028775,59.29349351176511,17.492226078457872
dirt,#9b7653,155,118,83,29,46,61,52.45339624891972,9.864351323168098,24.835571259807722
disco,#871550,135,21,80,329,84,53,30.074895927858428,50.18145384648617,-4.95766994652217
dixie,#e29418,226,148,24,37,89,89,67.5868582970369,20.90858854132516,68.57880903012118
dodger blue,#1e90ff,30,144,255,210,88,100,59.381725677880596,9.96958543131904,-63.39488915058189
dogs,#b86d29,184,109,41,29,78,72,53.26295965417172,24.50606790490356,48.49529117427015
dogwood rose,#d71868,215,24,104,335,89,84,47.10517413545707,71.6114116081803,6.485496128631896
dollar bill,#85bb65,133,187,101,98,46,73,70.5017223816838,-33.20782077857637,37.879876278197
dolly,#f9ff8b,249,255,139,63,45,100,97.43978567108717,-17.890243470963185,54.41887715558602
dolphin,#646077,100,96,119,250,19,47,41.855765584681194,6.696478064491335,-12.352055625989655
domino,#8e775e,142,119,94,31,34,56,51.556319659128505,5.072354504290222,17.092962465032755
don juan,#5d4c51,93,76,81,342,18,36,34.169869905659695,8.07908124824555,-0.2771655280097707
donkey brown,#664c28,102,76,40,35,61,40,34.28689502365828,6.375595648992288,25.40361311329398
dorado,#6b5755,107,87,85,5,21,42,38.895094977330764,7.864367901903396,4.248252267124886
double colonial white,#eee3ad,238,227,173,50,27,93,89.920798176497,-4.438094754878774,27.782136231963218
double pearl lusta,#fcf4d0,252,244,208,49,17,99,95.97639003566772,-3.0582168595984505,18.324900743824422
double spanish white,#e6d7b9,230,215,185,40,20,90,86.46771581945568,0.3992124682978271,16.6754050535721
dove gray,#6d6c6c,109,108,108,0,1,43,45.71496046403402,0.38873777354830885,0.1307979142208593
downriver,#092256,9,34,86,221,90,34,14.811714661200952,13.149850674073177,-34.13035862429341
downy,#6fd0c5,111,208,197,173,47,82,77.59221333200277,-31.268467661400457,-3.414475562901309
driftwood,#af8751,175,135,81,34,54,69,59.00762229885986,8.702787639888854,34.68540648149082
drover,#fdf7ad,253,247,173,56,32,99,96.17125535115451,-8.845455434365823,36.366981117506825
duke blue,#00009c,0,0,156,240,100,61,17.461584577090136,54.86343443555133,-74.72249283347648
dull lavender,#a899e6,168,153,230,252,33,90,67.14211900496112,21.929892273953755,-36.94581891837827
dune,#383533,56,53,51,24,9,22,22.394257595116997,0.8780850237948279,1.7255914659752847
dust storm,#e5ccc9,229,204,201,6,12,90,83.99741069048063,8.243413562315949,4.677790745668231
dusty gray,#a8989b,168,152,155,349,10,66,64.28045548498469,6.422489060747994,0.5629615084551176
dutch white,#efdfbb,239,223,187,42,22,94,89.25882513586475,-0.12660020070837108,19.63918220108414
eagle,#b6baa4,182,186,164,71,12,73,74.66268789887518,-5.317604649807961,10.678268700407202
eagle green,#004953,0,73,83,187,100,33,27.81714234436572,-15.766495007682513,-11.62621949513668
earls green,#c9b93b,201,185,59,53,71,79,74.46474289891763,-8.415032927711286,62.63604814591757
early dawn,#fff9e6,255,249,230,46,10,100,97.92319316336904,-1.155749570284581,9.81671949283216
earth yellow,#e1a95f,225,169,95,34,58,88,73.02976489809465,12.491755297316054,45.67956649422904
east bay,#414c7d,65,76,125,229,48,49,33.506369202174014,9.908436048114144,-29.191583421204747
east side,#ac91ce,172,145,206,267,30,81,64.54584275174793,22.062086255747072,-27.640818800154854
eastern blue,#1e9ab0,30,154,176,189,83,69,58.52907199690755,-24.210676040861912,-20.634743152196776
ebb,#e9e3e3,233,227,227,0,3,91,90.69215285288098,2.0315977703488364,0.7104042856507897
ebony,#555d50,85,93,80,97,14,36,38.444423406014316,-5.864293152494593,6.410934971409343
ebony clay,#26283b,38,40,59,234,36,23,16.725816253654195,4.551627474637609,-12.453646805683915
eclipse,#311c17,49,28,23,12,53,19,12.893429913714552,9.629724290397505,7.764538380078035
ecru,#c2b280,194,178,128,45,34,76,72.8053122317831,-1.7477082434693703,27.67094617697987
ecru white,#f5f3e5,245,243,229,52,7,96,95.65175414455027,-1.718196779270209,6.971233035328694
ecstasy,#fa7814,250,120,20,26,92,98,64.80943923350658,45.00513921213567,68.92701416951293
eden,#105852,16,88,82,175,82,35,33.34756330185375,-22.571761168878048,-2.6582466006240923
edgewater,#c8e3d7,200,227,215,153,12,89,88.02815831092954,-11.171832450873442,2.8379075003689636
edward,#a2aeab,162,174,171,165,7,68,70.10142475776718,-4.775714520797281,0.08395094225130961
eerie black,#1b1b1b,27,27,27,0,0,11,9.766934231515162,0.0011685082452611573,-0.0023119569494189918
egg sour,#fff4dd,255,244,221,41,13,100,96.48486282291985,-0.04431369116453254,12.392393123700662
egg white,#ffefc1,255,239,193,45,24,100,94.67172889472079,-1.5650969915860236,24.238615379849172
eggplant,#614051,97,64,81,329,34,38,31.35244343494287,17.26176794629286,-4.377229243835867
eggshell,#f0ead6,240,234,214,46,11,94,92.67448928156459,-1.317700617416262,10.422696921408559
egyptian blue,#1034a6,16,52,166,226,90,65,27.625784349278746,34.004972141475854,-63.92506527698403
el paso,#1e1708,30,23,8,41,73,12,8.185527848421454,0.9669261266679052,8.99247778976856
el salva,#8f3e33,143,62,51,7,64,56,36.97402919092398,33.48922036577598,23.486320482983224
electric blue,#7df9ff,125,249,255,183,51,100,91.38400100862438,-33.03304956368552,-13.532925740774093
electric crimson,#ff003f,255,0,63,345,100,100,53.62027412278074,81.16487996222399,41.254681554034036
electric indigo,#6f00ff,111,0,255,266,100,100,38.89758199606652,82.03785508758565,-96.69843143251764
electric lime,#ccff00,204,255,0,72,100,100,93.6054959860619,-41.9481527423855,90.27764338718227
electric purple,#bf00ff,191,0,255,285,100,100,49.8536121349416,89.38771339402862,-78.2749584509531
electric violet,#8b00ff,139,0,255,273,100,100,42.32141849950748,84.04698646416864,-90.92327070210851
electric yellow,#ffff33,255,255,51,60,80,100,97.23531786540661,-20.771711893283584,87.54611379013137
elephant,#123447,18,52,71,202,75,28,20.20145407110447,-5.101551637285651,-15.387067297128866
elf green,#088370,8,131,112,171,94,51,48.827151194050785,-34.72801922143995,1.7798514551515154
elm,#1c7c7d,28,124,125,181,78,49,47.16134590023158,-25.75165222743514,-8.31389963448752
emerald,#50c878,80,200,120,140,60,78,72.47517570451704,-51.24956261121655,30.251909270553345
eminence,#6c3082,108,48,130,284,63,51,31.609760940800015,40.42924261066125,-35.02324586605465
emperor,#514649,81,70,73,344,14,32,30.903674099203066,5.255312032298204,-0.08880580625535428
empress,#817377,129,115,119,343,11,51,49.8105584118788,6.171898117761588,-0.22597214649915376
endeavour,#0056a7,0,86,167,209,100,65,36.82844184469538,10.692990823321702,-49.52921023110115
energy yellow,#f8dd5c,248,221,92,50,63,97,88.18093948781394,-5.177812026981032,64.80157774350764
engineering international orange,#ba160c,186,22,12,3,94,73,39.646862572752234,60.497104191824555,49.16914431674981
english holly,#022d15,2,45,21,147,96,18,15.18962058452501,-21.381940236350413,11.521495707505785
english lavender,#b48395,180,131,149,338,27,71,59.984223399017125,21.629389203491666,-2.176224297416507
english red,#ab4b52,171,75,82,356,56,67,44.659107715064515,40.00942636228583,15.43116463198323
english vermillion,#cc474b,204,71,75,358,65,80,49.315917183542425,52.83365170442078,26.788740593299664
english walnut,#3e2b23,62,43,35,18,44,24,19.52889995841202,7.529311092030754,8.676804851514907
envy,#8ba690,139,166,144,131,16,65,65.57312878765833,-13.77645727441168,8.294015662197317
equator,#e1bc64,225,188,100,42,56,88,77.81242781394344,2.823655716305107,48.89504700511891
espresso,#612718,97,39,24,12,75,38,23.863488910338035,25.251346564873074,22.5461460763492
eternity,#211a0e,33,26,14,38,58,13,9.749829475201341,1.273827432261898,8.658664031873537
eton blue,#96c8a2,150,200,162,134,25,78,76.31487107045295,-23.98567520869377,13.788683093789444
eucalyptus,#44d7a8,68,215,168,161,68,84,77.67203510332153,-49.68699950066896,12.054502442394188
eunry,#cfa39d,207,163,157,7,24,81,70.79784866010306,15.324051506514003,9.314264690228491
evening sea,#024e46,2,78,70,174,97,31,29.168657917415082,-22.903438424777296,-1.2025583886204227
everglade,#1c402e,28,64,46,150,56,25,24.034815788219902,-18.041908956061974,7.110648253548735
fogra29 rich black,#010b13,1,11,19,207,95,7,2.6449701071421607,-1.1706923166898835,-4.87211202294569
fogra39 rich black,#010203,1,2,3,210,67,1,0.5098530332058502,-0.12233979277151419,-0.4707947437595339
faded jade,#427977,66,121,119,178,45,47,47.19009915593222,-18.686913370735468,-4.586539690159808
fair pink,#ffefec,255,239,236,9,7,100,95.6009489203377,4.891460749494425,3.37472757235171
falcon,#7f626d,127,98,109,337,23,50,44.73288794153218,13.607864743721665,-1.7027271969346058
fallow,#c19a6b,193,154,107,33,45,76,66.14396786846372,8.369210596896604,30.14844295160646
falu red,#801818,128,24,24,0,81,50,27.595949666886504,43.25798781049078,28.381385828944634
fandango,#b53389,181,51,137,320,72,71,44.22942170951067,59.70070866301713,-18.728717129055482
fandango pink,#de5285,222,82,133,338,63,87,55.336728108788904,58.826355930122865,1.0022340553154097
fantasy,#faf3f0,250,243,240,18,4,98,96.29316827116463,1.8265857410712516,2.2626802849501138
fashion fuchsia,#f400a1,244,0,161,320,100,96,53.82088575046764,85.07779160541907,-17.429578658478228
fawn,#e5aa70,229,170,112,30,51,90,73.91858760722978,15.001649499236603,38.200211978258444
fedora,#796a78,121,106,120,304,12,47,46.617027589849066,8.623934120542632,-5.614054036865301
feijoa,#9fdd8c,159,221,140,106,37,87,82.36652752655938,-34.61891475146939,33.625828051046966
feldgrau,#4d5d53,77,93,83,143,17,36,37.89803775580648,-8.405976274855703,3.6963825570237585
fern,#63b76c,99,183,108,126,46,72,67.72649528204208,-41.44821977969254,30.403887335648005
fern frond,#657220,101,114,32,70,72,45,45.50464861214736,-16.772801710726924,41.67424121462739
fern green,#4f7942,79,121,66,106,45,47,46.618718854967454,-25.91289125167215,25.58605776491727
ferra,#704f50,112,79,80,358,29,44,37.14404114126772,14.045703344964021,4.92919562953592
ferrari red,#ff2800,255,40,0,9,100,100,54.84249895919224,75.47876748861154,67.81012439784367
festival,#fbe96c,251,233,108,52,57,98,91.62639498058468,-8.896953164440557,61.75637847326505
feta,#f0fcea,240,252,234,100,7,99,97.6668674658289,-7.096078005771167,7.249468638605849
field drab,#6c541e,108,84,30,42,72,42,37.15625989809827,3.641815022298794,34.20229823223261
fiery orange,#b35213,179,82,19,24,89,70,46.532287727819224,36.175988037068954,51.009369480505754
fiery rose,#ff5470,255,84,112,350,67,100,60.57854736051425,66.24479709055653,21.483650423509527
finch,#626649,98,102,73,68,28,40,42.12416631694842,-6.939712618359906,15.918733963119603
finlandia,#556d56,85,109,86,123,22,43,43.56655040478724,-13.870462942657703,9.996784186169517
finn,#692d54,105,45,84,321,57,41,28.167983978800933,32.02037689975509,-11.008739037949965
fiord,#405169,64,81,105,215,39,41,33.97198795749716,0.07364193100439786,-15.990419225286246
fire,#aa4203,170,66,3,23,98,67,41.921092140408454,40.32658779529449,51.7941715164594
fire bush,#e89928,232,153,40,35,83,91,69.5346316188326,21.166897797838036,65.9606880060511
fire engine red,#ce2029,206,32,41,357,84,81,44.68123421352037,64.55173684246817,41.20735951273537
firebrick,#b22222,178,34,34,0,81,70,39.11257274771978,55.927797038098056,37.64861155320936
firefly,#0e2a30,14,42,48,191,71,19,15.290221974285444,-8.279916596318742,-7.081236039157989
flame,#e25822,226,88,34,17,85,89,55.342917349659714,51.35539538958944,55.690054631851915
flame pea,#da5b38,218,91,56,13,74,85,54.73403359768274,47.83623013180915,44.35908593379456
flamenco,#ff7d07,255,125,7,29,97,100,66.47602170779375,44.35711426228356,72.66225839054982
flamingo,#f2552a,242,85,42,13,83,95,57.59917676415938,58.34239192262136,55.2884211628381
flamingo pink,#fc8eac,252,142,172,344,44,99,71.56854760444197,44.846819953588025,2.7644899621241947
flavescent,#f7e98e,247,233,142,52,43,97,91.68709434260252,-7.576402737196009,45.82749013171541
flax,#eedc82,238,220,130,50,45,93,87.47298118621529,-5.754182104846017,46.26746352933411
flax smoke,#7b8265,123,130,101,74,22,51,53.076000986746195,-7.975286191074183,14.864293009593599
flint,#6f6a61,111,106,97,39,13,44,45.01248559024831,0.2362017728053667,5.744196534778768
flirt,#a2006d,162,0,109,320,100,64,35.568001146349594,63.039888976454435,-14.915305585465333
floral white,#fffaf0,255,250,240,40,6,100,98.40143252802201,-0.031841635011520264,5.366211904742801
flush mahogany,#ca3435,202,52,53,360,74,79,46.00123823239351,58.273044860319146,35.59956956821615
foam,#d8fcfa,216,252,250,177,14,99,96.4602009264398,-11.901532995162778,-2.937398141851544
fog,#d7d0ff,215,208,255,249,18,100,85.39212921881102,11.533662653399169,-22.07469454648534
foggy gray,#cbcab6,203,202,182,57,10,80,80.9135876616191,-3.1233674499034914,10.107366513112414
folly,#ff004f,255,0,79,341,100,100,53.84031308992945,81.76061600214291,32.14122187174836
forest green,#228b22,34,139,34,120,76,55,50.594431117733436,-49.586362838919875,45.01596496396721
forget me not,#fff1ee,255,241,238,11,7,100,96.13913061696567,4.202008495789167,3.1206701147999727
fountain blue,#56b4be,86,180,190,186,55,75,68.26947377583699,-24.878768708806454,-13.565859722856132
frangipani,#ffdeb3,255,222,179,34,30,100,90.20975619424667,5.257553522606983,25.316021538095647
french bistre,#856d4d,133,109,77,34,42,52,47.5718451776171,4.80021042469303,21.434691244294445
french blue,#0072bb,0,114,187,203,100,73,46.47525194718554,0.8331809594224748,-45.79774150394557
french fuchsia,#fd3f92,253,63,146,334,75,99,58.5208021685641,75.50159291314074,-1.3816760340919831
french gray,#bdbdc6,189,189,198,240,5,78,76.85508301855172,1.7062054365313273,-4.530248592526598
french lilac,#86608e,134,96,142,290,32,56,46.15984929069696,23.89328054120188,-19.349177127479255
french lime,#9efd38,158,253,56,89,78,99,90.69092988475239,-56.40988085177051,78.13106748769911
french mauve,#d473d4,212,115,212,300,46,83,62.51774743427062,51.7372615301539,-33.794263123622905
french pass,#bdedfd,189,237,253,195,25,99,90.99805471182295,-11.82543001763775,-12.762244684475021
french pink,#fd6c9e,253,108,158,339,57,99,65.02316339611973,59.8114333222981,1.1657748811352064
